formulaRank,molecularFormula,adduct,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,compoundId,mappingFeatureId,overallFeatureQuality
1,C10H14O3,[M + H]+,C10H15O3+,Fatty acids,0.483,Cyclic polyketides,0.223,Macrolide lactones,0.133,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Carbonyl compounds,0.954,Ketones,0.764,Cyclic ketones,0.591,Organic compounds; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,183.102,159,2.656,830130278700893883,830129505174702759,830129505174702758,21818,
1,C9H14O3,[M + H]+,C9H15O3+,Fatty acids,0.959,Fatty Acids and Conjugates,0.345,Jasmonic acids,0.436,Organic acids and derivatives,0.849,Carboxylic acids and derivatives,0.846,Carboxylic acids,0.603,,,Carboxylic acids,0.603,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,171.102,159,2.657,830130288150662786,830129503262099940,830129503257905635,21165,
1,C10H16O4,[M + H]+,C10H17O4+,Fatty acids,0.995,Fatty Acids and Conjugates,0.823,Oxo fatty acids,0.547,Lipids and lipid-like molecules,0.821,Fatty Acyls,0.874,Fatty acids and conjugates,0.794,,,Fatty acids and conjugates,0.794,Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,201.112,159,2.658,830130272992444639,830129508270099431,830129508270099430,20802,
1,C7H14N2O5S,[M + H]+,C7H15N2O5S+,Alkaloids,0.260,Small peptides,0.259,Imidazole alkaloids,0.182,Organic acids and derivatives,0.910,Carboxylic acids and derivatives,0.602,,,,,Carboxylic acids and derivatives,0.602,Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,239.069,160,2.662,830130263668504851,830129516180557705,830129516180557704,20799,
1,C15H13NO4,[M + H]+,C15H14NO4+,Alkaloids,0.248,Lysine alkaloids,0.258,Simple coumarins,0.383,Benzenoids,0.916,,,,,,,Benzenoids,0.916,Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,272.092,160,2.663,830130282341550524,830129522392322769,830129522388128464,21880,
1,C15H22N2O4,[M + H]+,C15H23N2O4+,Alkaloids,0.794,Anthranilic acid alkaloids,0.185,Quinazoline alkaloids,0.088,Benzenoids,0.792,,,,,,,Benzenoids,0.792,Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; Benzenoids; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,295.166,160,2.664,830130266986200132,830129526393689335,830129526393689334,25507,
1,C10H12O2,[M + H]+,C10H13O2+,Fatty acids,0.537,Phenylpropanoids (C6-C3),0.314,Cinnamic acids and derivatives,0.305,Organic oxygen compounds,0.999,Organooxygen compounds,0.997,Carbonyl compounds,0.742,,,Carbonyl compounds,0.742,Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,165.091,160,2.665,830130335047189887,830129502268049817,830129502263855512,21901,
1,C8H17NO2S,[M + H]+,C8H18NO2S+,Fatty acids,0.776,Fatty Acids and Conjugates,0.713,Branched fatty acids,0.254,Organic acids and derivatives,0.994,Carboxylic acids and derivatives,0.988,"Amino acids, peptides, and analogues",0.924,Amino acids and derivatives,0.924,Amino acids,0.712,"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",192.105,160,2.667,830130267825061109,830129506516880189,830129506512685884,21919,
1,C10H19NO5,[M + H]+,C10H20NO5+,Fatty acids,0.990,Fatty amides,0.893,N-acyl amines,0.989,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.898,Amino acids and derivatives,0.895,Beta amino acids and derivatives,0.955,"Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Beta amino acids and derivatives; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",234.134,160,2.672,830130266491272140,830129515446554410,830129515446554409,22009,
1,C15H29N5O3,[M + H]+,C15H30N5O3+,Alkaloids,0.861,Pseudoalkaloids (transamidation),0.835,Purine alkaloids,0.509,Organoheterocyclic compounds,0.920,Imidazopyrimidines,0.822,Purines and purine derivatives,0.833,6-aminopurines,0.621,6-aminopurines,0.621,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Ureas; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Amines; Alkanolamines; 6-aminopurines; Imidolactams; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,328.233,162,2.693,830130336620054394,830129530160174977,830129530160174976,22262,
1,C13H14N6O5,[M + H]+,C13H15N6O5+,Carbohydrates,0.730,Nucleosides,0.798,Purine nucleosides,0.666,Organic acids and derivatives,0.959,Carboxylic acids and derivatives,0.866,"Amino acids, peptides, and analogues",0.696,Amino acids and derivatives,0.691,Alpha amino acids and derivatives,0.567,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Primary amines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",335.110,164,2.738,830130270207426336,830129530764154848,830129530764154847,22967,
1,C12H24O8,[M + H]+,C12H25O8+,Fatty acids,0.829,Fatty Acids and Conjugates,0.788,Methoxy fatty acids,0.101,Organic acids and derivatives,0.815,Carboxylic acids and derivatives,0.779,Carboxylic acids,0.681,,,Carboxylic acids,0.681,Organic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dialkyl ethers; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,297.155,164,2.738,830130270207426324,830129526666319135,830129526666319134,22973,
1,C14H31NO8,[M + H]+,C14H32NO8+,Fatty acids,0.401,Glycerolipids,0.079,Aminoacids,0.042,Organic oxygen compounds,0.999,Organooxygen compounds,0.999,Ethers,0.993,Dialkyl ethers,0.990,Dialkyl ethers,0.990,Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,342.212,164,2.739,830130273629979018,830129531447826515,830129531447826514,22974,
1,C13H29NO8,[M + H]+,C13H30NO8+,Fatty acids,0.394,Glycerolipids,0.107,Monoacylglycerols,0.059,Organic oxygen compounds,0.999,Organooxygen compounds,0.999,Ethers,0.994,Dialkyl ethers,0.990,Dialkyl ethers,0.990,Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,328.197,164,2.739,830130270396170074,830129530130814844,830129530130814843,22980,
1,C13H18N4O3,[M + H]+,C13H19N4O3+,Amino acids and Peptides,0.677,Small peptides,0.388,Dipeptides,0.092,Organic acids and derivatives,0.844,Carboxylic acids and derivatives,0.657,"Amino acids, peptides, and analogues",0.540,Amino acids and derivatives,0.537,Amino acids and derivatives,0.537,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Benzenoids; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",279.144,164,2.739,830130276704404641,830129523344429897,830129523344429896,22981,
1,C12H27NO8,[M + H]+,C12H28NO8+,Amino acids and Peptides,0.467,Small peptides,0.507,Aminoacids,0.498,Organic acids and derivatives,0.949,Carboxylic acids and derivatives,0.961,"Amino acids, peptides, and analogues",0.900,Amino acids and derivatives,0.900,Amino acids,0.894,"Organic compounds; Amino acids, peptides, and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",314.181,164,2.740,830130291401249123,830129528377595462,830129528377595461,21753,
1,C19H22N2O2,[M + H]+,C19H23N2O2+,Alkaloids,1.000,Tryptophan alkaloids,0.697,Corynanthe type,0.491,Alkaloids and derivatives,0.932,Cinchona alkaloids,0.977,,,,,Cinchona alkaloids,0.977,"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Alcohols and polyols; Phenols; Piperidines; Quinuclidines; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Quinolines and derivatives; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Cinchona alkaloids; Benzenoids; Amines; Tertiary amines; Alkanolamines; Aromatic alcohols; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 4-quinolinemethanols; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities",311.176,164,2.741,830130288335212235,830129528058828303,830129528058828302,22613,
1,C19H23N7O2S2,[M + H]+,C19H24N7O2S2+,Amino acids and Peptides,0.459,Oligopeptides,0.054,Cyclamides,0.082,Organoheterocyclic compounds,0.998,Diazinanes,0.627,Piperazines,0.659,,,Piperazines,0.659,Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyridines and derivatives; Piperazines; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Sulfonyls; Diazines; Organosulfonamides; Diazinanes; Amines; Primary amines; Tertiary amines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,446.142,165,2.743,830130286577798584,830129541530934766,830129541530934765,23015,
1,C21H33N3O6S,[M + H]+,C21H34N3O6S+,Amino acids and Peptides,0.669,Small peptides,0.611,Tripeptides,0.506,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.998,"Amino acids, peptides, and analogues",0.993,Peptides,0.980,Oligopeptides,0.784,"Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Thioethers; Carboxylic acids; Thia fatty acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Methionine and derivatives; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Oligopeptides; Chemical entities",456.216,165,2.744,830130277232887102,830129542332046920,830129542327852615,23026,
1,C9H12N4O3,[M + H]+,C9H13N4O3+,Alkaloids,0.999,Pseudoalkaloids (transamidation),1.000,Purine alkaloids,1.000,Organoheterocyclic compounds,1.000,Imidazopyrimidines,1.000,Purines and purine derivatives,1.000,Xanthines,1.000,Xanthines,1.000,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Lactams; Purines and purine derivatives; Xanthines; Organic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Azoles; Ureas; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Substituted imidazoles; N-substituted imidazoles; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,225.099,165,2.752,830130274368176779,830129513307459105,830129513303264800,23109,
1,C20H26N2O3,[M + H]+,C20H27N2O3+,Alkaloids,1.000,Tryptophan alkaloids,0.596,Iboga type,0.247,Alkaloids and derivatives,0.925,Cinchona alkaloids,0.998,,,,,Cinchona alkaloids,0.998,"Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Piperidines; Quinuclidines; Ethers; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Quinolines and derivatives; Secondary alcohols; 1,2-aminoalcohols; Trialkylamines; Cinchona alkaloids; Phenol ethers; Benzenoids; Amines; Tertiary amines; Alkanolamines; Aromatic alcohols; Aralkylamines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 4-quinolinemethanols; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",343.201,166,2.759,830130298430904745,830129531556878439,830129531556878438,23189,
1,C25H30N2O8,[M + H]+,C25H31N2O8+,Alkaloids,0.995,Tyrosine alkaloids,0.637,Isoquinoline alkaloids,0.251,Organic acids and derivatives,0.997,Carboxylic acids and derivatives,0.997,"Amino acids, peptides, and analogues",0.715,Amino acids and derivatives,0.714,Amino acids,0.747,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Pyrans; Pyridines and derivatives; Alcohols and polyols; Piperidines; Sugar acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Organooxygen compounds; Amino acids and derivatives; Glucuronides; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Acetals; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Oxanes; Glucuronic acid derivatives; Glycosyl compounds; O-glycosyl compounds; Trialkylamines; Polyols; Benzenoids; Amines; Tertiary amines; O-glucuronides; Aralkylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Phenolic glycosides; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",487.208,166,2.764,830130281917925747,830129544462753642,830129544462753641,23230,
1,C27H41N7O15,[M + Na]+,C27H41N7NaO15+,Amino acids and Peptides,0.976,Oligopeptides,0.972,Cyclic peptides,0.680,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.977,Peptides,0.875,Oligopeptides,0.830,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Aspartic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities",726.258,167,2.777,830130393469663705,830129554755577133,830129554755577132,23440,
1,C14H31N2O3,[M + Na]+,C14H31N2NaO3+,Alkaloids,0.682,Fatty amides,0.081,Polyamines,0.072,Organic oxygen compounds,0.999,Organooxygen compounds,0.999,Ethers,0.994,Dialkyl ethers,0.994,Dialkyl ethers,0.994,Organic compounds; Ethers; Organonitrogen compounds; Organooxygen compounds; Dialkyl ethers; Amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,298.223,167,2.780,830130278126274072,830129526888617287,830129526888617286,23498,
1,C17H23N5O6,[M + H]+,C17H24N5O6+,Carbohydrates,0.971,Nucleosides,0.982,Purine nucleosides,0.751,Organic oxygen compounds,1.000,Organooxygen compounds,0.998,Carbohydrates and carbohydrate conjugates,0.773,Glycosyl compounds,0.708,Glycosylamines,0.904,"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Diazines; Monosaccharides; Secondary alcohols; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",394.171,167,2.782,830130290025517011,830129538032884640,830129538032884639,23537,
1,C11H24O6,[M + H]+,C11H25O6+,Fatty acids,0.906,Fatty acyls,0.544,Fatty alcohols,0.242,Organic oxygen compounds,1.000,Organooxygen compounds,1.000,Ethers,0.999,Dialkyl ethers,0.998,Polyethylene glycols,0.812,Organic compounds; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,253.165,167,2.783,830130274686944019,830129519150125337,830129519145931032,26264,
1,C13H13NO4,[M + H]+,C13H14NO4+,Amino acids and Peptides,0.973,Small peptides,0.893,Dipeptides,0.639,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.996,Amino acids and derivatives,0.996,N-acyl-L-alpha-amino acids,0.543,"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenylacetamides; N-acyl-alpha amino acids; Benzenoids; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; Glutamic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",248.092,167,2.786,830130281884371288,830129518164463767,830129518164463766,22233,
1,C13H16N3O5S,[M + Na]+,C13H16N3NaO5S+,Amino acids and Peptides,0.973,Small peptides,0.573,Dipeptides,0.259,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.996,"Amino acids, peptides, and analogues",0.781,Amino acids and derivatives,0.775,N-acyl-alpha amino acids and derivatives,0.563,"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",349.071,167,2.787,830130293959775519,830129532118915275,830129532114720970,23634,
1,C26H26F6N4O4,[M + Na]+,C26H26F6N4NaO4+,Amino acids and Peptides,0.380,Small peptides,0.070,Aminoacids,0.013,Organic acids and derivatives,0.943,Carboxylic acids and derivatives,0.932,"Amino acids, peptides, and analogues",0.694,Amino acids and derivatives,0.694,Amino acids and derivatives,0.694,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Organofluorides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Tertiary amines; Alkyl halides; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",595.175,167,2.787,830130288234548897,830129550921982742,830129550921982741,23638,
1,C13H16N2O4,[M + Na]+,C13H16N2NaO4+,Amino acids and Peptides,0.960,Small peptides,0.927,Dipeptides,0.726,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",0.999,Amino acids and derivatives,0.999,N-acyl-L-glutamines,0.935,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenylacetamides; N-acyl-alpha amino acids; Benzenoids; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; N-acyl-L-glutamines; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",287.100,167,2.787,830130296002402080,830129524703384573,830129524703384572,24677,
1,C13H13Cl2N5O2,[M + Na]+,C13H13Cl2N5NaO2+,Amino acids and Peptides,0.254,Small peptides,0.061,Purine alkaloids,0.023,Benzenoids,0.994,Benzene and substituted derivatives,0.986,Halobenzenes,0.969,Chlorobenzenes,0.968,Chlorobenzenes,0.968,Organic compounds; Organoheterocyclic compounds; Halobenzenes; Tetrazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,364.035,167,2.787,830130319767335417,830129534669052407,830129534664858102,23653,
1,C26H32N4O8,[M + H]+,C26H33N4O8+,Amino acids and Peptides,0.996,Small peptides,0.957,Dipeptides,0.870,Organic acids and derivatives,1.000,Carboxylic acids and derivatives,1.000,"Amino acids, peptides, and analogues",1.000,Peptides,0.963,Dipeptides,0.507,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Phenylacetamides; N-acyl-alpha amino acids; Benzenoids; Fatty Acyls; Organic oxides; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; N-acyl-L-glutamines; Glutamine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities",529.229,167,2.788,830130294949631512,830129547046445296,830129547046445295,23659,
1,C12H25NO9,[M + H]+,C12H26NO9+,Amino acids and Peptides,0.744,Small peptides,0.750,Aminoacids,0.598,Organic acids and derivatives,0.994,Carboxylic acids and derivatives,0.994,"Amino acids, peptides, and analogues",0.948,Amino acids and derivatives,0.948,Amino acids,0.898,"Organic compounds; Amino acids, peptides, and analogues; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",328.160,167,2.788,830130277161583888,830129530042734445,830129530038540140,24562,
